1652367452000,1652367452285,S,29302,250,Y
1652367452282,1652367452285,S,29503.22000000,0.00435000,I
1652367452282,1652367452286,S,29503.22000000,0.02000000,I
1652367452284,1652367452287,S,29503.22000000,0.02000000,I
1652367452287,1652367452290,S,29503.22000000,0.00079000,I
1652367452300,1652367452302,B,29503.23000000,0.01976000,I
1652367452000,1652367452328,B,3776458,0.06,L
1652367452327,1652367452329,S,29503.22000000,39.41398000,I
1652367452291,1652367452331,B,3799346,0.06,F
1652367452000,1652367452333,B,3777369,0.0506017,L
1652367452000,1652367452340,B,3777375,0.01,L
1652367452336,1652367452340,B,29503.23000000,0.07493000,I
1652367452338,1652367452341,S,29498.50000000,0.00678000,I
1652367452338,1652367452343,S,29495.85000000,0.08606000,I
1652367452341,1652367452344,S,29495.85000000,0.01075000,I
,1652367452352,B,3776396.0,0.02,C
,1652367452355,B,3776295.0,0.015,C
,1652367452359,B,3776396.0,0.001,C
,1652367452377,B,3776402.0,0.006,C
1652367452322,1652367452379,B,3799346,0.04,F
1652367452322,1652367452379,B,3800374,0.01,F
1652367452322,1652367452379,B,3801731,0.01,F
1652367452338,1652367452379,B,3801731,0.01,F
,1652367452380,B,3776396.0,0.014,C
1652367452376,1652367452381,S,29498.51000000,0.00067000,I
1652367452376,1652367452381,S,29496.80000000,0.00050000,I
1652367452000,1652367452386,B,29302.5,2,Y
1652367452000,1652367452386,B,29307.5,9,Y
1652367452390,1652367452394,B,29492.87000000,0.00342000,I
1652367452338,1652367452403,B,3801732,0.06,F
,1652367452404,B,3776402.0,0.05,C
1652367452386,1652367452406,B,29370,0.0133,T
1652367452421,1652367452425,S,29492.86000000,0.00260000,I
1652367452421,1652367452425,S,29492.84000000,0.00266000,I
1652367452421,1652367452425,S,29492.11000000,0.00101000,I
1652367452380,1652367452433,B,3801732,0.00782147,F
1652367452445,1652367452450,B,29492.85000000,0.02500000,I
1652367452445,1652367452450,B,29492.87000000,0.07886000,I
1652367452453,1652367452456,S,29492.35000000,0.01100000,I
1652367452453,1652367452458,S,29492.11000000,0.00241000,I
1652367452453,1652367452458,S,29492.10000000,0.00659000,I
1652367452411,1652367452482,S,3801764,0.05,F
1652367452411,1652367452482,S,3801764,0.03,F
1652367452411,1652367452482,S,3800161,0.01,F
1652367452427,1652367452482,S,3800161,0.01,F
1652367452000,1652367452484,S,29308.5,10348,Y
