,1653834087707,1653834087712,B,29345.81000000,0.00211000,I
,1653834088281,1653834088286,S,29345.80000000,0.00529000,I
,1653834089095,1653834089098,B,29345.81000000,0.00211000,I
,1653834089801,1653834089805,B,29345.81000000,0.00119000,I
,1653834089943,1653834089947,S,29345.80000000,0.00244000,I
,1653834090052,1653834090057,S,29345.80000000,0.00067000,I
,1653834090164,1653834090171,B,29345.81000000,0.00145000,I
,1653834090392,1653834090396,S,29345.80000000,0.00043000,I
,1653834090413,1653834090417,B,29345.81000000,0.04596000,I
2341638683,1653834090395,1653834090440,S,3742394,0.01,F
,1653834090546,1653834090550,B,29345.81000000,0.00924000,I
,1653834090891,1653834090896,B,29345.81000000,0.00500000,I
,1653834090941,1653834090945,B,29345.81000000,0.00131000,I
,1653834091130,1653834091134,B,29345.81000000,0.00211000,I
,1653834091225,1653834091229,B,29345.81000000,0.00154000,I
,1653834091255,1653834091259,S,29345.80000000,0.00051000,I
,1653834091292,1653834091296,S,29345.80000000,0.00396000,I
,1653834091292,1653834091296,S,29345.80000000,0.02884000,I
,1653834093159,1653834093163,B,29345.81000000,0.00107000,I
,1653834093403,1653834093426,S,29326,0.6983,T
,1653834093403,1653834093426,S,29326,0.2,T
,1653834093403,1653834093426,S,29326,0.1547,T
,1653834093483,1653834093487,S,29345.80000000,0.00123000,I
,1653834093787,1653834093817,S,29326,0.0453,T
,1653834093787,1653834093817,S,29326,0.0014,T
,1653834093787,1653834093817,S,29326,0.0191,T
,1653834093787,1653834093817,S,29326,0.1202,T
,1653834093787,1653834093817,S,29326,0.12,T
,1653834093787,1653834093817,S,29326,0.103,T
,1653834093787,1653834093817,S,29326,0.18,T
,1653834093787,1653834093817,S,29326,0.004,T
,1653834093787,1653834093817,S,29326,0.1,T
,1653834093787,1653834093817,S,29325,0.3245,T
,1653834093787,1653834093817,S,29325,0.5576,T
,1653834093822,1653834093826,S,29345.80000000,0.00993000,I
,1653834093822,1653834093826,S,29345.80000000,0.30000000,I
,1653834093822,1653834093826,S,29345.80000000,0.12063000,I
,1653834093822,1653834093827,S,29345.80000000,0.03396000,I
,1653834093822,1653834093827,S,29345.80000000,0.00229000,I
,1653834093822,1653834093827,S,29345.76000000,0.03209000,I
,1653834093836,1653834093840,S,29344.91000000,0.00150000,I
,1653834093839,1653834093843,S,29344.91000000,0.00150000,I
,1653834093988,1653834094014,S,29324,0.068,T
2341638684,1653834093977,1653834094021,S,3742010,0.01,F
,1653834094051,1653834094070,S,29324,0.034,T
,1653834095000,1653834095384,B,29309.5,1121,Y
,1653834095490,1653834095494,S,29344.91000000,0.04612000,I
,1653834095505,1653834095509,B,29344.92000000,0.00204000,I
,1653834095554,1653834095559,S,29344.91000000,0.12717000,I
,1653834095749,1653834095764,B,29325,0.0034,T
,1653834095749,1653834095764,B,29325,0.0019,T
,1653834095812,1653834095818,B,29344.92000000,0.00119000,I
,1653834096000,1653834096785,S,29309,19,Y
,1653834096802,1653834096805,B,29344.92000000,0.00817000,I
,1653834097153,1653834097157,B,29344.92000000,0.00211000,I
,1653834097181,1653834097200,B,29325,0.2081,T
,1653834097181,1653834097200,B,29325,0.0452,T
2341638685,1653834097541,1653834097588,B,3742736,0.01,F
,1653834097866,1653834097871,S,29344.91000000,0.00102000,I
,1653834097878,1653834097882,B,29344.92000000,0.00102000,I
,1653834097888,1653834097905,B,29325,0.0003,T
,1653834098035,1653834098039,S,29344.91000000,0.00102000,I
,1653834098045,1653834098049,B,29344.92000000,0.00102000,I
,1653834098201,1653834098204,S,29344.91000000,0.00102000,I
,1653834098211,1653834098216,B,29344.92000000,0.00102000,I
,1653834098216,1653834098220,B,29344.92000000,0.00382000,I
,1653834098380,1653834098385,S,29344.91000000,0.00102000,I
,1653834098393,1653834098397,B,29344.92000000,0.00102000,I
2341638686,1653834098704,1653834098775,B,3742737,0.01,F
2341638687,1653834098704,1653834098775,B,3742924,0.02,F
,1653834098000,1653834098786,B,29309.5,30,Y
,1653834098866,1653834098870,B,29344.92000000,0.00128000,I
,1653834098963,1653834098980,B,29325,0.0455,T
2341638688,1653834099193,1653834099233,S,3742516,0.01,F
,1653834099333,1653834099338,B,29344.92000000,0.00631000,I
,1653834099333,1653834099338,B,29344.92000000,0.03000000,I
,1653834099333,1653834099338,B,29344.92000000,0.05000000,I
,1653834099333,1653834099338,B,29344.92000000,0.02500000,I
,1653834099333,1653834099339,B,29344.92000000,0.03000000,I
,1653834099333,1653834099339,B,29344.92000000,0.06600000,I
,1653834099333,1653834099339,B,29344.92000000,0.03600000,I
,1653834099333,1653834099339,B,29344.92000000,0.03700000,I
,1653834099333,1653834099339,B,29344.92000000,0.03272000,I
2341638689,1653834099557,1653834099607,S,3742010,0.01,F
2341638690,1653834100229,1653834100276,S,3742010,0.03,F
,1653834100604,1653834100608,S,29344.91000000,0.94733000,I
,1653834100604,1653834100608,S,29344.91000000,0.00110000,I
,1653834100604,1653834100608,S,29344.91000000,0.03292000,I
,1653834100614,1653834100617,S,29344.90000000,0.02598000,I
2341638691,1653834100584,1653834100624,B,3742012,0.01,F
2341638692,1653834100584,1653834100624,B,3742012,0.01,F
,1653834100632,1653834100636,S,29344.39000000,0.01000000,I
,1653834100683,1653834100688,S,29344.39000000,0.03361000,I
,1653834100878,1653834100882,S,29344.39000000,0.00100000,I
2341638693,1653834100971,1653834100998,S,3742011,0.01,F
,1653834101176,1653834101193,B,29325,0.0034,T
,1653834101230,1653834101234,S,29344.39000000,0.00040000,I
,1653834101318,1653834101322,B,29344.40000000,0.01363000,I
,1653834101368,1653834101372,S,29344.39000000,0.00860000,I
,1653834101368,1653834101372,S,29344.39000000,0.02549000,I
,1653834101804,1653834101808,B,29344.40000000,0.00119000,I
,1653834101882,1653834101886,S,29344.39000000,0.02289000,I
,1653834102381,1653834102385,S,29344.15000000,0.01980000,I
,1653834102393,1653834102398,S,29343.79000000,0.01000000,I
,1653834102403,1653834102408,S,29343.59000000,0.00150000,I
,1653834102414,1653834102419,S,29343.58000000,0.00068000,I
,1653834102426,1653834102431,S,29343.54000000,0.00450000,I
,1653834102438,1653834102442,S,29342.59000000,0.00150000,I
,1653834102464,1653834102469,S,29342.54000000,0.00450000,I
,1653834102508,1653834102527,S,29324,0.0162,T
,1653834102532,1653834102536,S,29342.52000000,0.00036000,I
,1653834102535,1653834102574,S,29324,0.0163,T
,1653834102000,1653834102583,B,29309.5,3,Y
,1653834102586,1653834102616,S,29324,0.0392,T
,1653834102000,1653834102786,B,29309.5,200,Y
,1653834102864,1653834102868,B,29342.51000000,0.00199000,I
,1653834102000,1653834102991,S,29309,5,Y
,1653834102000,1653834103083,B,29309.5,3,Y
,1653834103143,1653834103148,B,29342.51000000,0.00210000,I
,1653834103224,1653834103228,S,29342.50000000,0.00036000,I
,1653834103224,1653834103228,S,29342.50000000,0.00647000,I
,1653834103369,1653834103374,S,29342.50000000,0.03378000,I
,1653834103369,1653834103374,S,29342.50000000,0.00031000,I
,1653834104185,1653834104208,S,29324,0.181,T
2341638694,1653834104261,1653834104304,S,3742010,0.00298,F
,1653834104364,1653834104368,S,29342.50000000,0.03409000,I
,1653834104843,1653834104847,B,29342.51000000,0.00068000,I
,1653834104870,1653834104890,S,29324,0.19,T
,,1653834104975,S,3728812.0,0.03,C
,1653834105000,1653834105091,B,29309.5,12885,Y
,1653834105143,1653834105148,S,29342.50000000,0.02205000,I
,1653834105306,1653834105310,S,29342.50000000,0.00872000,I
,1653834106092,1653834106096,S,29342.50000000,0.00079000,I
,1653834106479,1653834106495,S,29324,0.0082,T
,1653834106558,1653834106562,S,29342.50000000,0.01174000,I
,1653834106653,1653834106657,B,29342.51000000,0.00163000,I
,1653834107175,1653834107180,S,29342.50000000,0.05000000,I
,1653834107179,1653834107182,S,29342.50000000,0.05538000,I
,1653834107179,1653834107183,S,29342.50000000,0.20000000,I
,1653834107179,1653834107183,S,29342.50000000,0.15000000,I
,1653834107181,1653834107185,S,29342.50000000,0.05000000,I
,1653834107185,1653834107188,S,29342.50000000,0.18364000,I
,1653834107185,1653834107189,S,29342.50000000,0.54163000,I
